COLE_BILINGUE;COLE_JORNADA;COLE_NATURALEZA;ESTU_GENERO;FAMI_ESTRATOVIVIENDA;FAMI_TIENECOMPUTADOR;FAMI_TIENEINTERNET;puntaje;;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[409-471];;
N;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[298-353);;
S;MAÑANA;NO OFICIAL;M;Estrato 5;Si;Si;[186-298);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[409-471];;
S;MAÑANA;NO OFICIAL;M;Estrato 5;Si;Si;[186-298);;
S;COMPLETA;NO OFICIAL;F;Estrato 1;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[298-353);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 5;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;M;Sin Estrato;Si;Si;[353-409);;
S;MAÑANA;NO OFICIAL;F;Estrato 5;Si;Si;[409-471];;
S;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 4;Si;Si;[298-353);;
S;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[298-353);;
N;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[353-409);;
N;MAÑANA;OFICIAL;F;Estrato 2;No;No;[131-186);;
S;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 4;Si;Si;[353-409);;
N;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[353-409);;
S;MAÑANA;NO OFICIAL;F;Estrato 4;Si;Si;[298-353);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[298-353);;
S;MAÑANA;NO OFICIAL;F;Estrato 5;Si;Si;[298-353);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 4;Si;Si;[353-409);;
N;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[353-409);;
S;MAÑANA;NO OFICIAL;M;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[298-353);;
S;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[353-409);;
N;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[186-298);;
N;COMPLETA;NO OFICIAL;M;Estrato 4;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[186-298);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[298-353);;
N;COMPLETA;NO OFICIAL;M;Estrato 6;Si;Si;[298-353);;
S;MAÑANA;NO OFICIAL;F;Estrato 5;Si;Si;[298-353);;
N;NOCHE;NO OFICIAL;M;Estrato 5;Si;Si;[186-298);;
N;NOCHE;OFICIAL;M;Estrato 1;Si;Si;[186-298);;
S;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;M;Estrato 5;Si;Si;[353-409);;
S;COMPLETA;NO OFICIAL;F;Estrato 6;Si;Si;[353-409);;
N;COMPLETA;NO OFICIAL;M;Estrato 4;Si;Si;[353-409);;
