"punt_global","cole_depto_ubicacion"
"212","BOLIVAR"
"212","BOLIVAR"
"349","TOLIMA"
"349","TOLIMA"
"277","ANTIOQUIA"
"277","ANTIOQUIA"
"300","HUILA"
"300","HUILA"
"255","BOGOTÁ"
"255","BOGOTÁ"
"258","ANTIOQUIA"
"258","ANTIOQUIA"
"292","BOGOTÁ"
"292","BOGOTÁ"
"240","QUINDIO"
"240","QUINDIO"
"270","VALLE"
"270","VALLE"
"179","ARAUCA"
"179","ARAUCA"
"194","VALLE"
"194","VALLE"
"291","ANTIOQUIA"
"291","ANTIOQUIA"
"211","RISARALDA"
"304","NORTE SANTANDER"
"304","NORTE SANTANDER"
"350","NARIÑO"
"350","NARIÑO"
"271","CUNDINAMARCA"
"271","CUNDINAMARCA"
"236","BOYACA"
"236","BOYACA"
"268","ANTIOQUIA"
"268","ANTIOQUIA"
"203","TOLIMA"
"203","TOLIMA"
"264","CORDOBA"
"264","CORDOBA"
"324","CAUCA"
"324","CAUCA"
"323","CALDAS"
"323","CALDAS"
"230","BOLIVAR"
"230","BOLIVAR"
"250","CESAR"
"250","CESAR"
"303","NARIÑO"
"304","QUINDIO"
"304","QUINDIO"
"211","HUILA"
"211","HUILA"
"309","CESAR"
"309","CESAR"
"338","NORTE SANTANDER"
"338","NORTE SANTANDER"
"319","ANTIOQUIA"
"319","ANTIOQUIA"
"236","CORDOBA"
"236","CORDOBA"
"235","ATLANTICO"
"235","ATLANTICO"
"238","BOGOTÁ"
"238","BOGOTÁ"
"213","CAUCA"
"213","CAUCA"
"250","ANTIOQUIA"
"250","ANTIOQUIA"
"151","ATLANTICO"
"151","ATLANTICO"
"338","BOYACA"
"338","BOYACA"
"243","VALLE"
"243","VALLE"
"305","CAUCA"
"305","CAUCA"
"235","CAQUETA"
"235","CAQUETA"
"292","RISARALDA"
"292","RISARALDA"
"198","ANTIOQUIA"
"198","ANTIOQUIA"
"227","ARAUCA"
"227","ARAUCA"
"211","BOLIVAR"
"211","BOLIVAR"
"217","PUTUMAYO"
"217","PUTUMAYO"
"331","VALLE"
"331","VALLE"
"174","NORTE SANTANDER"
"174","NORTE SANTANDER"
"220","MAGDALENA"
"220","MAGDALENA"
"184","TOLIMA"
"184","TOLIMA"
"265","ANTIOQUIA"
"265","ANTIOQUIA"
"345","CALDAS"
"345","CALDAS"
"280","NARIÑO"
"280","NARIÑO"
"246","TOLIMA"
"246","TOLIMA"
"234","VALLE"
"234","VALLE"
"312","NORTE SANTANDER"
"312","NORTE SANTANDER"
"212","CASANARE"
"212","CASANARE"
"183","ANTIOQUIA"
"183","ANTIOQUIA"
"238","RISARALDA"
"238","RISARALDA"
"387","SUCRE"
"387","SUCRE"
"266","ATLANTICO"
"266","ATLANTICO"
"346","BOGOTÁ"
"346","BOGOTÁ"
"264","BOGOTÁ"
"264","BOGOTÁ"
"295","SANTANDER"
"295","SANTANDER"
